feature,importance,drop_in_score,average_shap,mutual_information
amt_log,0.28517727161576023,0.7999876375516098,0.13663260670196362,0.017634928413795103
amt,0.22619282435541582,0.5963054047885176,0.1137835674066867,0.01755722377229252
amt_vs_card_avg,0.13096393571450476,0.05389293444975474,0.04445471097575817,0.011969710454412974
is_night,0.1064084443887619,0.10510240656771348,0.05973394326042897,0.007383313749293796
hour,0.052575390303224286,0.10788429457936315,0.03249947996193913,0.006306470890959481
merchant_freq,0.038329705980180304,0.05241932705451269,0.024952123069891214,0.001189384018933315
card_avg_amt,0.029003263250109376,0.021017141916340652,0.021590430893081228,0.005056889185244717
cat_gas_transport,0.02038732269109627,0.04299435906702971,0.021718055796680208,0.0003259714324159724
age,0.013770115807006815,0.061940334802209174,0.012800832839042249,0.003604999737487402
cat_food_dining,0.00996973310883772,0.02431339861498303,0.007514393439619931,5.450710109522472e-05
cat_shopping_net,0.008684650637539659,0.029649644492580764,0.0037629855460065992,0.000772650095083649
city_pop_log,0.007810396466056902,-0.001024159428207949,0.005700614045501419,0.001373556621726446
city_pop,0.007616705832404277,0.0006517302483428855,0.005728669495246402,0.0011061683140105583
cat_shopping_pos,0.006933205812719922,-0.0011414638094660035,0.006035503969480346,0.00022304987136001486
cat_home,0.006707949599104061,0.004355097537736307,0.0061446095302338044,0.0004466507904771211
cat_misc_pos,0.005920310144105742,0.02019048308597928,0.004649172805412246,0.0005341799474954945
cat_grocery_net,0.0049828040500758996,0.0027681660899654403,0.0023486675887599198,0.00015605480885183542
distance_km,0.004894676108080447,-0.0012804213532678244,0.004761293742076544,0.0002124501586933114
cat_travel,0.004815617841853686,0.03173789980109407,0.002466210092365703,0.0
cat_misc_net,0.0047878543308566696,0.0065296242335944,0.0016939424092161503,0.00035217435561862853
cat_grocery_pos,0.004615060530124349,0.050757483181657695,0.009893724792762019,0.0006031771716356049
month,0.0044244630929596105,3.337917030679094e-05,0.005131740031452879,0.0010258564114240531
cat_entertainment,0.0043103207340953915,0.016271770582868616,0.0028779292944079303,0.00025835297709564387
cat_kids_pets,0.0038892370969591827,0.020255939920493637,0.006405957757302493,0.0005521932547717379
day_of_week,0.0024088199080200172,-0.0051690645298366755,0.0028181730016010676,0.001864688652446378
cat_personal_care,0.0023279400220798338,0.03318000325006783,0.004363212676733856,0.00042706029427375114
cat_health_fitness,0.0020919805780669665,0.03530888951265217,0.0038421775863708937,0.00011659514794870596
